hour,SOC,DOC,MBC,EEC
0,114.5720596,0.881891335,1.515389713,2.143943082
10,107.4723496,2.199686909,1.647928945,1.889155226
20,101.8809296,1.024896451,2.248858606,2.336770118
30,95.41851936,1.908162908,2.101231841,1.608027254
40,94.07554247,2.032179275,1.495464715,1.842607981
50,95.12817249,3.400820897,1.249538813,2.050386678
60,102.5374373,1.884210867,2.016756816,2.129947613
70,106.5089075,2.208376579,2.000530684,1.957235504
80,99.36945697,2.719693423,2.039355095,2.08761408
90,118.4809074,3.042385314,2.197802741,2.244737569
100,100.5457511,3.73987839,2.039993105,1.610805401
110,96.57084828,2.641527543,1.728267806,1.317220332
120,101.0137851,1.650691084,2.169890543,1.949434906
130,94.4353781,2.955613355,2.51552956,1.882444233
140,96.78834102,2.393323648,1.769697158,1.691978448
150,98.2101963,3.198755122,1.707496047,2.088298209
160,109.3976958,5.002835027,2.123436422,1.842355896
170,105.1574678,2.293407833,1.872571603,2.035082155
180,96.75113092,3.03046944,1.353870014,1.924199114
190,87.76719026,4.615700055,2.908220881,1.890741665
200,93.06762026,3.648602663,2.183495919,1.793713359
210,91.74123868,3.544495582,1.534854044,1.83415762
220,99.5316443,4.309068827,1.519560963,1.765535573
230,100.9556754,3.272963654,1.802737644,1.876431637
240,98.50937345,3.576971902,1.767789665,1.920076559
250,88.38329635,4.065698289,2.528767299,1.970164401
260,96.4837672,5.614651409,2.052178591,2.111418285
270,94.83968579,3.186085613,1.674329733,1.937147302
280,121.2747083,2.743395485,3.085205502,1.95666008
290,97.93615812,5.121076701,1.847133085,1.933673705
300,104.1477227,4.549419426,2.592097585,2.328813018
310,91.77414098,3.306838085,1.328170661,2.076369486
320,105.2578508,4.362074519,1.691787407,2.335283136
330,114.0976302,5.214262228,2.686555916,2.134446095
340,90.67216325,4.758155864,3.236955689,2.362390925
350,102.5919914,4.534004407,2.215986321,1.715519436
360,81.09646022,4.126921874,2.251585359,1.982923404
370,79.78708171,5.051903639,2.904529816,2.670973755
380,102.9832047,5.844342416,2.741925045,2.236023335
390,100.9043164,5.336989418,2.740784267,2.04034736
400,111.3599182,6.363943855,2.789331838,2.273205997
410,90.76983716,5.490978716,2.235006208,1.882283385
420,93.62662282,5.203523423,2.363290459,1.475299646
430,100.9722776,5.87854466,1.969355542,1.878333058
440,100.2273007,6.483873301,2.493965014,1.956312869
450,99.53949452,4.717978615,2.772422784,1.91015477
460,95.51924389,5.701133885,2.226112616,2.11972183
470,97.31659033,6.073150554,2.871328192,2.094795317
480,95.60704561,6.935662747,2.674032566,2.171571063
490,92.29216721,5.52252964,2.929077324,1.939283318
500,107.9791827,6.866065356,1.953485875,1.860064942
510,91.19226775,5.324326241,2.244714973,1.855468396
520,83.9726582,6.831924229,2.103459191,2.352489735
530,79.61312728,5.452812703,1.986639592,1.841851661
540,88.75281017,7.008737501,2.529110814,2.483425866
550,93.13178337,6.711266175,2.22114219,1.993154415
560,92.88258543,7.60745535,2.501345878,1.69709454
570,100.0676661,6.702702129,2.36761585,1.78882511
580,94.21603724,6.961790707,2.148945346,1.906121383
590,83.0452215,6.810612558,2.674768394,1.574907703
600,107.9853754,7.95352603,2.293183198,2.210046974
610,79.70304497,6.296652602,2.694176689,1.943279584
620,94.11192635,7.109329922,2.107508494,1.870847658
630,89.52915191,7.146334174,2.785106961,1.615263183
640,96.91754319,6.473801957,2.797882016,1.995579464
650,94.51558912,6.029180914,2.523448401,1.953758334
660,100.2509645,5.872350393,2.472969611,2.030356613
670,99.28078296,8.830847208,1.989484452,1.613697402
680,75.92096308,5.824748686,2.505202711,1.731461625
690,103.6959023,7.696568921,2.220951018,2.122550696
700,90.28326917,6.295741543,2.508718632,1.888394586
710,93.5785146,6.407722104,2.958039641,2.053332587
720,106.0608675,6.925197994,2.259834949,1.874550025
730,97.94786111,7.772013102,2.056521675,1.988933014
740,87.78933898,6.956499548,2.371463401,2.110866464
750,93.03950706,6.383974795,3.032059604,2.172414099
760,91.34956351,6.212153859,2.291038721,1.812182813
770,116.4325538,7.231384466,2.303920958,2.138506475
780,102.8183154,7.423321493,2.474264651,1.772294853
790,88.2170041,8.409488798,2.892583341,1.824802913
800,86.3847181,7.811606737,2.857092233,1.730226994
810,97.97019431,6.451670021,2.601168791,1.891150122
820,90.59555528,8.31374591,2.992072339,1.989799661
830,84.66210852,8.279781734,2.876503813,1.63116149
840,82.17950796,5.09206741,2.555827826,1.876465394
850,95.42113932,7.543558118,2.667069944,1.561428408
