hour,SOC,DOC,MBC,EEC
670,94.36312379,6.655476603,2.41252551,1.997624746
680,96.27653367,7.637831537,3.11400609,1.787566024
690,78.98297177,8.235630171,2.033365352,2.479286598
700,88.62834205,6.083918752,1.9852453,1.782063987
710,91.33390793,7.956894178,1.348588346,1.835419184
720,84.69862185,7.840887768,2.754389392,2.27465142
730,86.43326608,7.956583522,2.385468684,2.444910709
740,93.26154568,8.081212184,2.495174502,1.767360626
750,87.77087013,7.431211508,3.12001143,1.991669515
760,88.30709686,6.896421406,3.045293384,1.846198692
770,93.02314642,8.60929242,3.588049087,1.622145304
780,109.7901202,8.353632259,2.419889229,1.79910336
790,91.43871604,7.588138636,1.452183033,1.914810372
800,90.24980139,8.447621585,2.783296909,2.000944877
810,85.16641095,7.159429706,2.919105431,1.924582112
820,96.05394156,6.465852397,2.557710324,1.972364677
830,76.69482631,8.060669495,2.802530183,1.976694355
840,86.93564693,7.250662901,2.349747265,1.782764234
850,94.61789681,9.504107488,2.358253854,2.041378638
860,85.13889999,9.071766331,4.305854748,2.370270645
870,76.47002248,8.752553165,1.753343348,1.605146218
880,77.57785714,8.410503447,2.134854615,1.909953491
890,93.72805246,7.471778607,2.41402932,1.57400642
900,96.47331391,7.896948818,2.809566235,2.113532579
910,91.18088434,8.146568863,4.678397675,2.029180386
920,76.3817158,8.419569822,4.104086719,2.369723014
930,92.13229696,9.558598125,4.272107588,1.7501483
940,74.54612021,9.755539068,3.380052714,1.909030921
950,90.55981809,8.405565889,3.148542822,2.051899697
960,88.3029586,9.544638726,3.818681268,2.054873048
970,74.92479498,10.44550139,4.644818681,2.543943525
980,79.31422618,8.11846773,2.983725596,2.416098003
990,72.69383878,9.854247581,3.348805838,2.145387778
1000,84.79066554,9.048625532,2.957685333,2.620451836
1010,90.03560481,8.725881751,3.794335904,1.638687167
1020,88.80627346,9.81176165,4.150379257,2.65844722
1030,85.86357799,9.343850069,3.435593236,2.1598165
1040,93.24490461,9.545776221,3.309486622,2.591145153
1050,88.15414986,9.848957202,3.003151651,2.511906393
1060,97.53956806,10.59205602,3.608971279,2.381218569
1070,86.52443654,10.01994041,3.915953382,2.295292083
1080,78.69485962,9.182227497,2.631514079,2.436467825
1090,86.78777756,10.49603692,4.355661496,1.932575081
1100,85.76911696,9.660102659,4.265053719,2.416580421
1110,83.98304835,10.91721157,4.047412755,2.282557277
1120,76.08139425,9.274797403,3.611409207,2.027408955
1130,93.70189614,11.4377933,4.032807076,2.748469578
1140,90.75158266,10.34847459,2.865760755,2.371574594
1150,98.18027299,11.06077448,4.357919438,2.224348982
1160,84.13738287,9.862013584,4.617623468,2.509983552
1170,89.72649236,11.54920208,4.569445374,2.850157667
1180,74.94232429,11.18183002,3.503859036,3.181239881
1190,89.29170166,10.75314566,4.479703958,2.913054025
1200,90.04313435,11.47986629,3.998889633,2.659421787
1210,85.9601703,10.68122786,3.171340908,2.466121324
1220,74.85648088,10.53816531,4.121984438,2.336533049
