hour,SOC,DOC,MBC,EEC
0,108.1428981,2.663339711,2.126444856,2.260669066
10,107.0852723,0.901282686,1.491207895,2.026938508
20,91.20139982,0.944452112,2.115868099,1.790804823
30,90.83679742,3.337364339,1.549050597,1.814729611
40,94.83485362,2.902788308,0.719587444,1.775269194
50,99.78065268,2.090851322,1.666827393,1.770275145
60,97.05203346,2.344609743,2.559840725,2.329160775
70,104.1150991,1.204270662,2.474110385,2.153304431
80,101.651889,3.754241933,2.49040376,2.568127597
90,93.71042949,1.654196591,1.371749696,1.872786807
100,103.6878696,2.145077769,1.386412838,1.99982414
110,86.71866561,4.43731104,2.373147348,1.515074426
120,80.00548493,3.359865013,2.471868527,1.462455013
130,103.0654935,2.350284201,2.414154534,1.802063984
140,93.96135698,3.299874841,1.614514496,1.845512164
150,104.5890783,2.570950156,1.548138205,1.833603159
160,97.97043136,3.709971237,1.550058349,2.007252369
170,80.50104874,3.110291765,1.832041113,2.337611652
180,104.8365482,2.716760852,2.449129562,1.947255023
190,96.37991521,2.609764974,2.320601592,2.364875987
200,90.10917487,2.920484208,1.252085141,1.618902502
210,90.63495783,2.388077311,2.237973345,1.531010049
220,96.2038184,3.289315545,1.523274018,1.961923398
230,103.6435752,3.391593756,1.655022808,2.039891281
240,97.12653005,2.168929531,2.885603395,2.263876924
250,97.03299149,3.129385472,2.518883345,2.404051648
260,103.9453632,4.808070383,1.561386848,2.006572137
270,95.24208469,5.174505228,1.729885054,1.99216956
280,100.4901069,4.58850246,2.601380706,2.218247768
290,106.5230786,4.013653618,2.081961298,2.091789976
300,86.74687469,3.969581809,2.009511998,2.834906882
310,92.68457551,3.715225499,2.222221044,2.269161507
320,100.503807,4.131243531,2.415304549,2.507130474
330,87.22104894,5.703508889,3.38116011,2.464898644
340,85.29361121,5.176769523,1.725294277,2.568487148
350,101.8419928,5.100603015,2.842932131,2.266488083
360,101.7944141,5.659775135,2.458918388,2.063429313
370,86.21875056,5.813889305,3.555699338,2.388078946
380,88.70855675,3.10851914,1.869518039,2.605772936
390,87.16052527,4.627581407,3.588745033,2.000643796
400,91.32808558,7.026946834,3.086867006,2.133960053
410,92.80970535,4.983368018,2.018702924,1.941346026
420,89.4812185,5.343556667,1.766492084,2.426476818
430,90.23915608,5.932807712,2.364504407,2.832065034
440,105.3653349,7.414727352,1.602821308,1.967138519
450,97.22770409,6.565250364,2.220735269,1.95381089
460,102.7915584,6.623565506,3.281003102,1.724305629
470,88.95532269,5.950770367,2.75665177,2.978215199
480,98.76146794,6.511542403,3.003727188,2.393017893
490,98.69490163,7.355381259,2.118440174,2.185396974
500,93.80242831,7.052041258,2.547805149,2.220281257
510,87.15536958,5.395976818,2.30545336,2.579751299
520,98.06018417,6.472616662,2.702249995,2.2163772
530,90.95384668,5.47251158,2.593795901,2.206891153
540,91.02616847,6.775803414,1.688697136,2.551051386
550,90.5003754,7.124119763,3.30818929,2.256640587
560,90.65347449,6.580168006,2.175029882,2.162228175
570,80.3035464,6.454939119,2.241533606,1.586301255
580,87.37894835,5.330125173,2.088035764,1.548703786
590,84.63170345,6.688894695,1.307144098,2.576716644
600,99.14827141,7.798094166,2.170048817,1.912338791
610,88.34609404,7.248734137,3.974058864,2.105758619
620,99.8429367,6.743581674,1.269378357,2.174151979
630,88.31925884,7.23826806,1.792907105,2.190144645
640,85.93072548,7.055339857,2.932765737,2.452944475
650,89.60012195,7.458816334,1.91001496,2.315612431
660,81.99332237,8.386708606,1.844184315,2.113825548
670,95.5210002,7.43902826,2.345795305,1.780747237
680,91.08289993,8.545631749,2.281102506,1.703759909
690,87.10033172,8.299950302,1.609089646,2.260172167
700,100.9266329,7.346455054,2.570068372,2.76898252
710,98.25830414,7.670965613,3.005898902,2.304774709
720,79.82137943,6.709574902,1.673558257,2.297118808
730,86.77418349,7.394389761,2.328265371,2.046794628
740,82.80945084,8.024219208,2.055667639,2.147580298
750,100.2875758,8.45973854,3.406741323,1.877624501
760,88.85012138,8.456006571,1.299882956,1.772456402
770,78.39803345,7.285640801,2.798702996,1.711150175
780,91.39477545,8.693673049,2.323596305,2.118086876
790,93.96703469,8.93273347,2.401971518,1.85732785
800,88.32581655,9.327264608,2.824211974,2.114120894
810,85.87383053,7.902402309,1.874889038,2.385883801
820,102.3181734,8.516021302,1.94665569,1.975603832
830,87.63429834,10.96047339,2.236396988,2.085691305
840,76.35197107,8.843849486,3.276821444,1.813242028
850,90.86439747,7.853339862,1.834150209,1.375987882
860,90.76110862,8.973589127,2.733026214,1.23229635
870,80.60682875,8.261643666,2.361062096,1.658389445
880,83.90040443,10.209353,3.446237629,2.12567202
890,77.19714922,9.618703103,2.80350274,2.072464561
900,77.85842965,7.957822132,2.903492719,2.09887169
910,83.9317274,9.435673946,3.519137263,2.254251239
920,85.9230122,9.172882424,2.988576445,1.734737747
930,85.13176593,11.08253867,1.751483958,2.252203203
940,81.15528489,9.710440828,3.797332583,1.944865987
950,95.31766645,10.25235745,4.587265952,2.324862499
960,70.30601897,10.62695943,3.550786374,2.422896448
970,77.13971951,11.14905234,3.010392481,2.496457774
980,78.07037274,10.6560359,3.418287402,2.44369313
990,85.36360351,11.06642587,2.571961304,2.119415044
1000,70.29375911,9.273519298,3.383035066,2.221574453
1010,88.9439794,9.547918778,3.726964476,2.060233912
1020,87.89319025,9.947919248,3.586402401,2.516337151
1030,90.49334512,10.91544609,3.073032726,2.302104239
1040,74.80649434,10.296772,3.665408292,2.791535967
1050,87.91569602,9.200594416,2.887252938,2.740725846
1060,84.24163622,10.41702104,4.62539129,2.669086109
1070,77.10320974,11.62612038,2.973759094,2.975996182
1080,81.11814549,10.60711673,3.669645124,2.756577922
1090,82.80980347,13.84425816,4.278065302,1.987493979
1100,75.09412578,9.923347563,4.086384369,2.137538286
1110,79.67626676,10.84820298,3.017717613,2.546244023
1120,95.11535956,12.64012629,3.58091597,2.339515844
1130,70.40137127,11.56308224,3.135285315,2.298463153
1140,67.39595313,10.63537574,3.221126785,2.504113988
1150,87.75080758,10.38669058,4.044689268,2.847831877
1160,85.88063854,13.758861,3.875370814,2.472899665
1170,88.34019999,12.27586341,4.460198073,3.134639145
1180,77.24679148,11.00971237,4.262710616,3.334647965
1190,95.55812192,14.19399662,4.198656547,2.672682109
1200,75.40224176,11.83603603,3.864270263,2.580546426
1210,85.12153773,10.89520448,3.463586395,3.232249521
1220,82.40794885,10.2112527,2.807965834,2.743767884
1230,73.87161372,12.69514701,4.390796077,2.668852938
1240,91.71650734,11.31274755,4.101154262,2.878712215
1250,83.38162458,12.20597222,4.181541238,2.593187654
1260,67.85782466,11.33876422,3.495356713,2.647614134
1270,83.79405325,11.83720379,4.346329703,3.12530744
1280,75.92904654,12.18662489,3.963124067,2.692135101
1290,86.03528301,11.85346614,4.650613968,2.467940034
1300,91.92000989,10.70340234,5.020349385,2.257464776
1310,78.91281966,11.82402837,4.241431428,2.306908952
1320,86.11445896,10.57220764,3.963495606,2.284568856
1330,78.1002973,11.49005436,4.561696427,2.877463021
1340,84.74818656,12.55965559,4.119817204,2.307820139
1350,85.15381802,11.60296847,4.200653136,2.668643555
1360,67.1087045,12.9884022,4.276946902,2.46550884
1370,77.90636905,11.55261822,3.846894349,2.588203731
1380,73.78767402,11.36344117,4.447364056,2.293719333
1390,77.71421432,11.86134569,4.729907327,2.698861314
1400,89.35519609,11.46189337,3.840024888,2.444921567
1410,88.45979728,13.10089943,4.530952724,2.713455455
1420,71.92152474,10.87043615,4.941921727,3.163119812
1430,77.74998639,11.04383934,4.837777825,2.838118332
1440,73.47799431,10.82726835,4.82580889,2.986068846
1450,84.81947961,11.33404312,5.362079273,3.079466871
1460,74.03917086,13.87424665,4.789043092,3.193156571
1470,80.34157967,13.80107217,4.904463841,3.292504854
1480,73.79379954,11.80200447,5.45878403,2.64078222
1490,70.45785063,11.76254907,5.630706142,3.086880528
1500,75.44555335,11.13365828,5.137093962,3.212739209
1510,80.61100526,11.24289979,4.077773396,2.832395882
1520,76.13293475,13.26796325,5.028587441,3.160587693
1530,80.71212226,12.99881312,4.490974208,3.057217745
1540,72.83561821,13.90639626,5.38219561,3.316196747
1550,78.13273497,12.95498796,4.295465061,3.14002893
1560,81.60248955,12.70641657,3.486383019,3.477790052
1570,80.49222763,12.84388373,4.906192916,3.64903016
1580,84.93926274,13.05299717,5.045004525,3.203163154
1590,74.65034137,12.113279,4.727095896,3.050654853
1600,63.46688487,13.83739431,4.064705849,3.322591275
1610,83.45193212,13.69185941,4.988293487,3.156603461
1620,75.40148512,12.50931886,4.561245776,3.247883936
1630,69.41201612,13.59151459,3.803277145,3.244164365
1640,64.31854806,11.70638368,4.221068295,3.239847779
1650,86.91148417,13.06643875,4.367100662,2.888984865
1660,72.21026967,13.50294867,4.007191846,3.195942892
1670,72.70620897,11.90985608,4.93209357,3.32082093
1680,78.64772814,14.62475653,3.698268116,2.561931545
1690,71.55930474,13.67536721,4.821787978,3.279454588
1700,82.04928617,13.65298371,4.030817243,3.619841123
1710,60.12295952,13.59444582,4.787279972,3.67050654
1720,85.13977403,14.32430939,5.008851717,3.285665731
1730,82.14458014,14.38608432,3.919169464,3.167251367
1740,72.18026567,13.95824967,4.94599263,3.631510101
1750,73.95383641,12.65406783,5.049582559,2.484402617
1760,75.16311599,13.18383012,5.422629519,3.176623691
1770,57.32260861,13.95746424,4.827595472,3.214641717
1780,76.25534488,14.0767281,4.72786569,3.947170962
1790,59.45077679,13.30231141,5.720573705,3.418141448
1800,64.69910913,13.43692368,5.114127384,3.968319779
1810,67.66313536,13.37675769,5.831718698,3.846227067
1820,72.15507909,13.66862623,5.122606381,3.846634306
1830,58.87022195,13.87743776,5.207786128,3.504386499
1840,71.5199212,14.87342648,4.817633089,3.90765296
1850,69.52041626,13.48247915,4.811217531,3.241953923
1860,75.44437627,13.02653732,5.711290683,3.472790036
1870,73.80361122,13.71259565,5.242319439,3.420704747
1880,54.33615688,14.27799686,5.409728755,3.378056097
1890,65.52453493,14.67740224,5.503045762,2.812143569
1900,74.33913813,13.37864743,5.313236517,3.191074667
1910,56.12409678,14.95179805,6.064210141,3.054898406
1920,48.24636476,14.20395555,6.1746508,3.560530642
1930,58.71907439,12.32730191,6.124806931,3.201116201
1940,59.52048775,13.05745319,6.178268955,3.202752791
1950,70.60254245,13.561286,5.351036068,3.393038127
1960,69.14106065,13.33426454,6.38942157,3.146291617
1970,57.72406301,13.4498992,6.896623101,3.459107019
1980,59.06351799,12.05531372,6.484356215,3.421294473
1990,61.61020278,12.41396229,6.10039475,3.332083535
2000,58.52508608,13.59326247,5.937625382,3.644535487
2010,53.83329207,14.38058677,6.547547257,3.633666096
2020,53.08929346,12.63750615,6.810593966,3.272665289
2030,64.39992618,13.75805174,6.858400291,3.859596394
2040,62.57951949,12.81246839,6.565048792,3.561219203
2050,68.77969434,13.32479414,6.687023851,3.751662951
2060,62.51771416,13.2481195,6.455941539,3.202837895
2070,59.29343487,13.06125405,6.552746061,3.198479657
2080,56.70662236,10.97578782,7.711955612,3.784224954
2090,58.87694324,10.75655314,7.611761965,3.227650745
2100,71.08890041,12.64656374,5.783718107,2.825114748
2110,65.05805672,12.02155597,6.327659305,3.32719762
2120,64.82805154,13.17038268,6.397174288,3.293486768
2130,58.54528476,11.18281112,6.653603787,3.107485711
2140,68.00332574,11.71802521,6.395917098,3.34211784
2150,59.51001416,12.32866714,7.911085605,3.462862489
2160,46.90301534,12.92501322,6.648024971,3.192760821
