hour,SOC,DOC,MBC,EEC
0,88.40016265,3.088869995,1.7624299,1.307819215
10,83.4275657,6.166830784,1.925755438,1.059088192
20,79.82890647,3.099808288,2.763914478,1.477540966
30,75.55818184,5.108896937,2.56974149,0.817067267
40,74.72397847,5.257561687,1.8255686,1.044902254
50,75.36344701,8.860133489,1.353293807,1.229926936
60,80.16418474,5.153469447,2.325788307,1.237915506
70,82.72334695,5.92413884,2.248308137,1.112696489
80,78.13146291,6.889088963,2.402084058,1.197745869
90,90.13416458,7.413101287,2.602370911,1.422872861
100,78.43805169,9.046012013,2.231261316,1.000102618
110,75.83468939,6.287904456,1.854287511,0.717150129
120,78.33537626,3.861335968,2.393217255,1.332736622
130,73.89686573,6.944451732,2.819587583,1.285474498
140,75.29457063,5.540345452,1.89065704,1.104258493
150,76.17789741,7.418328529,1.929304792,1.373666693
160,83.24759438,11.71663794,2.431398132,1.149565585
170,80.41426472,5.119640496,2.087470079,1.354087721
180,74.67852481,6.798806966,1.44595707,1.25451131
190,68.93557096,10.62840652,3.316140139,1.299503614
200,72.47158513,8.232795633,2.410933939,1.221868915
210,71.4081604,7.94359835,1.546036253,1.297072177
220,76.29691396,9.718275465,1.594513555,1.198684766
230,77.24137479,7.128198274,2.068727662,1.218669553
240,75.60270226,7.829987965,1.97161677,1.328683649
250,69.04123975,8.930223629,2.985404282,1.348109071
260,74.35721447,12.63826247,2.373491415,1.503283888
270,73.12763334,6.7123525,1.905027363,1.350152243
280,89.94174742,5.607456903,3.628933858,1.41775291
290,74.9085912,11.36502309,2.2781081,1.265963748
300,78.67812454,9.86488578,3.225202929,1.641052599
310,70.66218484,6.839216877,1.637339396,1.39627743
320,79.17801485,9.306291186,2.075536492,1.672597511
330,84.72391529,11.28280738,3.162746138,1.637889952
340,69.7373634,10.14721541,3.850580686,1.86531929
350,77.35388189,9.567732945,2.601515464,1.244069872
360,63.53470986,8.553105777,2.558126309,1.559197717
370,62.54768335,10.73973806,3.386467032,2.184835614
380,77.47536045,12.70540253,3.193571485,1.790155114
390,76.10715149,11.44612599,3.213534638,1.620089578
400,82.60045828,13.91795274,3.27340732,1.826575468
410,69.31272685,11.8002531,2.570624035,1.481939428
420,70.95355778,11.05171472,2.720852448,1.126557495
430,75.39054597,12.7211118,2.227199833,1.500961685
440,74.73044222,14.15388383,2.879135782,1.579635735
450,74.09442629,9.868232802,3.22861516,1.537628874
460,71.54735832,12.27875399,2.523771677,1.729730489
470,72.43870841,13.15372799,3.317502403,1.744544623
480,71.04139683,15.25230563,3.067576385,1.806020957
490,68.73697602,11.8228462,3.378618989,1.556610669
500,78.40060264,15.09262072,2.158884389,1.49949425
510,67.5314355,11.38139279,2.513846547,1.502492958
520,62.64614422,15.024621,2.330341721,1.973864826
530,59.67637272,11.7020523,2.195195588,1.505470582
540,65.29061453,15.43784173,2.887534134,2.086956506
550,68.07930642,14.72500826,2.497962742,1.620078058
560,67.77783767,16.8927272,2.850857517,1.311229436
570,72.45714831,14.75214776,2.670811817,1.400827995
580,68.48660049,15.40336702,2.383701679,1.525513483
590,61.35282861,15.05148502,3.049255137,1.216665521
600,77.31734471,17.85846327,2.571459535,1.79508636
610,58.69531997,13.82338421,3.061313173,1.54057168
620,67.6920346,15.84273978,2.326267459,1.474393581
630,64.67649377,15.90958914,3.186605132,1.271533125
640,69.08815777,14.24438813,3.20671386,1.615976057
650,67.43382346,13.23891883,2.846565912,1.594953784
660,70.89956952,12.85600657,2.778905457,1.66282207
670,70.15765343,20.02841387,2.152384292,1.282429497
680,55.13307731,12.7445737,2.798955869,1.407272608
690,72.79427185,17.29587185,2.44316899,1.775195561
700,64.23225419,13.88684204,2.812060488,1.565043832
710,66.30998865,14.17929441,3.396343997,1.695059951
720,74.30155626,15.48011264,2.520952793,1.547134832
730,69.13339774,17.51315571,2.259686729,1.629645593
740,62.4506187,15.56801081,2.632555492,1.743756972
750,65.78849377,14.18997578,3.469039043,1.782787566
760,64.59424972,13.78856949,2.544343896,1.453094511
770,80.6331044,16.26867524,2.556289841,1.753640098
780,71.54262522,16.73695587,2.778576856,1.431951161
790,61.88861001,19.13519074,3.315433325,1.497186894
800,60.38135698,17.65202504,3.26464252,1.41396016
810,67.50468816,14.39531992,2.948102097,1.578058175
820,62.5110492,18.88523417,3.441688124,1.6721528
830,58.27506547,18.81207389,3.29948873,1.344809283
840,56.6864205,11.14589075,2.912667327,1.532892264
850,65.12315673,17.07054599,3.059342862,1.229660992
860,61.58956187,19.38114834,3.924754833,1.473184126
870,55.65257195,19.23906845,2.543941998,1.411948684
880,61.03965195,20.40685382,2.892652311,1.97527209
890,52.88663142,21.17816697,2.80281628,1.81958493
900,60.57784053,20.42412367,3.350281002,1.885078622
910,62.12211059,21.1381196,4.14540449,1.878771373
920,63.52680537,17.92650777,3.078415557,1.437819774
930,49.6548058,22.86229862,2.695456674,1.599538376
940,54.36338595,21.90455176,3.432932067,1.87234263
950,47.6178015,16.98536568,4.417377539,1.666279021
960,60.58016215,17.55576988,3.02227888,1.900993399
970,59.79657921,20.09628757,2.941302123,1.743862098
980,52.99188063,22.93551027,3.654049059,2.045190099
990,65.76942707,24.75808463,3.544130614,1.675932706
1000,54.74149945,20.01795855,4.273116362,2.061541892
1010,64.78733284,21.00524902,4.242443978,1.799755988
1020,59.30912468,19.97895127,4.692191238,2.192302934
1030,54.18137403,21.43607047,3.057108006,2.114557453
1040,59.16174985,22.32945274,4.159507849,1.983076481
1050,54.54125448,21.12098372,2.983798086,2.12486732
1060,53.7568694,24.98820918,4.211775682,1.654033668
1070,65.88423262,21.50957039,4.27034056,1.997868488
1080,49.14349916,18.29179487,4.147006811,1.828124395
1090,59.23080397,22.86180891,3.989599152,2.104966856
1100,53.66703152,25.43306601,4.597294677,1.649702031
1110,51.77743826,20.98302385,4.221787597,2.126345783
1120,49.73314456,21.94560387,4.636224932,1.927455411
1130,46.17632651,25.66843915,4.101148153,1.650848611
1140,56.26269832,24.63845598,4.101399408,2.304047145
1150,55.92547638,24.14906737,4.010584508,2.083077825
1160,59.0484851,24.12087675,3.866940148,2.488035909
1170,61.3917345,21.15129002,3.991091103,2.451937694
1180,65.36000817,24.79410746,4.935820613,2.444593173
1190,57.40988197,22.67741419,4.525128232,2.278663792
1200,50.7125097,19.92913457,5.218534945,2.147277143
1210,54.03989314,20.42514295,5.219596793,2.42992629
1220,61.56797231,24.14949321,4.582310407,2.296402254
1230,47.73983222,25.31605486,4.073119552,2.285597004
1240,48.4414083,26.05616129,4.377683098,2.043209342
1250,45.10154572,20.47026418,4.928737316,2.250465446
1260,55.66591383,24.9421368,5.740228529,2.200971743
1270,60.71633814,23.16325048,5.333308517,2.277538385
1280,40.52772385,21.76603498,5.721114001,1.864590581
1290,50.21104213,24.48613783,5.232249416,2.436105322
1300,49.79023169,23.08392752,5.269582677,2.184588327
1310,41.36421959,26.74462937,5.492751122,2.508505482
1320,52.46173582,25.76122071,4.835961197,2.166331252
1330,34.83182532,21.62764042,5.915689984,2.181487046
1340,50.20417392,22.83244954,5.347496682,2.063808407
1350,45.92131191,23.74212009,5.611799539,2.23414997
1360,41.05331434,21.46455507,4.714958325,2.266061089
1370,51.83950236,21.40190726,4.965076518,2.151511034
1380,52.25273956,23.99546462,5.232680628,1.804594778
1390,53.44924299,27.25524852,5.340666812,2.272477119
1400,46.25606294,27.22861596,5.198714241,2.524202549
1410,43.60767723,27.6862601,5.577643074,2.238976292
1420,49.90184334,24.9296586,6.707160874,2.065843824
1430,51.67992271,27.90610636,6.546648323,2.603551748
1440,42.97751867,28.16179789,5.040687888,2.97713198
1450,37.64861712,25.79255631,5.899761574,2.587483836
1460,42.12009668,26.32494205,6.433718021,2.593291678
1470,42.0176842,25.9885925,6.231718861,3.069775373
1480,48.06523582,27.50078637,5.806114616,2.852650094
1490,45.08800866,28.53046869,6.134789564,2.639212591
1500,41.58177134,24.74518672,5.670476206,2.67237011
1510,42.58895807,24.80666236,6.674598375,2.937807244
1520,37.78115472,23.01060008,6.601790305,3.047132639
1530,38.18716484,26.54245342,5.850689918,3.164032188
1540,37.99175741,28.59883711,5.998004024,3.256699855
1550,36.8620221,26.12865406,6.511664345,2.848142394
1560,37.10951386,24.46836301,5.287030287,3.202901085
1570,37.83906876,28.1002815,5.819512396,2.785097464
1580,38.73538366,28.50715627,5.458448216,2.815136917
1590,42.15508393,28.11363221,6.997731221,2.441976419
1600,33.99459469,29.80776499,6.059340319,2.766699023
1610,38.59737026,27.33220648,6.038972682,2.964375181
1620,41.39690922,26.60187505,5.958939069,3.093505194
1630,39.2436357,27.83971887,5.967028924,2.646972926
1640,42.51486524,25.69770983,6.377561543,2.730755712
1650,24.80272161,26.11242005,6.712871603,2.743102619
1660,31.82736564,25.21191926,5.741599936,2.87323096
1670,31.75117446,28.7812816,5.962214745,3.092894732
1680,23.05837019,27.24205779,6.102268564,2.969649237
1690,43.51297111,24.37268712,6.974287903,2.865934866
1700,42.10460755,30.21328358,5.681897586,2.954871439
1710,38.84585656,29.71203546,6.149517276,2.571178577
1720,38.36255548,29.69907198,6.727695609,2.981536975
1730,26.97474108,27.09166473,6.391248788,2.975670438
1740,22.29675478,26.47536586,6.332495851,2.788741386
1750,40.11273686,29.12049089,6.696837091,3.288064366
1760,36.45582536,29.89190384,6.505347568,2.887559641
1770,31.43655661,31.34474534,6.636437243,3.24364616
1780,35.23741217,27.00668374,7.595991297,3.316868116
1790,33.50598049,31.30509452,6.770758757,3.320433211
1800,26.78780003,26.68832721,7.243221727,3.564216733
1810,27.01296648,26.8956333,7.103384127,3.789272132
1820,24.47202282,26.29045508,7.670489867,3.336981427
1830,31.59643348,28.21459802,6.587037878,3.200824104
1840,29.42795558,30.13226941,7.833741316,3.156111778
1850,25.47272885,30.01049603,7.599232152,3.173376127
1860,20.91825189,27.11379721,7.473418831,3.143727074
1870,26.25134692,28.19933269,8.528457796,3.161625671
1880,20.9527264,30.30420629,7.495941886,2.862063377
1890,24.15897538,25.50138195,8.452200891,2.813569366
1900,30.88194165,30.28482384,8.069962339,3.06787941
1910,24.57689475,28.70095982,7.621825015,2.89558749
1920,28.85350852,26.49619222,7.738758571,3.0616869
1930,20.40516627,27.13456067,7.969795611,3.207037936
1940,34.14660911,30.47970256,8.541326191,3.167033821
1950,26.3037312,30.13425163,8.217693326,3.214423595
1960,25.2543435,27.9778164,7.331045436,2.755752933
1970,20.83323475,25.40517219,8.158687805,3.058317294
1980,33.09417019,25.37004498,7.298458605,2.704847978
1990,27.30777312,22.77001583,8.285270915,2.882542046
2000,27.64894488,25.22755598,9.431350922,3.176935962
